value,LastDayWeek
32.404341742148176,2007-01-06
32.19558685044276,2007-01-13
31.609415982436417,2007-01-20
33.316457869092666,2007-01-27
32.42297341342525,2007-02-03
33.5388070592934,2007-02-10
33.46434583187897,2007-02-17
34.81216451124668,2007-02-24
35.85457239544763,2007-03-03
34.55954293133773,2007-03-10
33.83253658442552,2007-03-17
31.69013754375852,2007-03-24
36.49657381562097,2007-03-31
37.443629280873985,2007-04-07
36.09400347556577,2007-04-14
32.835908624588946,2007-04-21
30.450074623707533,2007-04-28
31.863170731707346,2007-05-05
32.14986062717772,2007-05-12
30.890436300089863,2007-05-19
30.257545188500632,2007-05-26
28.9309704889344,2007-06-02
33.62609090910007,2007-06-09
30.21602676416961,2007-06-16
30.08838141220607,2007-06-23
30.635268824883493,2007-06-30
34.30383685634125,2007-07-07
32.186023352288835,2007-07-14
32.42758724726252,2007-07-21
29.806472813782594,2007-07-28
33.553000892373184,2007-08-04
30.896666069302672,2007-08-11
33.37864767081184,2007-08-18
32.65544708223592,2007-08-25
28.993859098719266,2007-09-01
30.43152715038587,2007-09-08
28.477265657983626,2007-09-15
30.439740729977505,2007-09-22
27.07960053462795,2007-09-29
25.56212080257317,2007-10-06
26.49241932945004,2007-10-13
23.27435069865668,2007-10-20
27.58756886701329,2007-10-27
29.414375765108424,2007-11-03
29.994953467514062,2007-11-10
30.50780203447437,2007-11-17
28.57223887278471,2007-11-24
31.384157363992976,2007-12-01
31.556940582360458,2007-12-08
29.414884262984025,2007-12-15
31.622028218901708,2007-12-22
32.49863258385593,2007-12-29
31.745689544400364,2008-01-05
32.45930836946634,2008-01-12
34.14292912209843,2008-01-19
32.904643158138235,2008-01-26
34.56234108963781,2008-02-02
34.3808004104095,2008-02-09
33.20491384570512,2008-02-16
32.63075912745344,2008-02-23
33.94422474361334,2008-03-01
37.49578151280016,2008-03-08
35.6563986492874,2008-03-15
32.733424958131614,2008-03-22
35.43618031740647,2008-03-29
36.41916410146506,2008-04-05
33.30609075096445,2008-04-12
37.26841887588929,2008-04-19
37.03547964103134,2008-04-26
39.36969788379298,2008-05-03
36.81850105554916,2008-05-10
31.908343758540628,2008-05-17
32.77620770817735,2008-05-24
38.21312564112525,2008-05-31
35.21743061822817,2008-06-07
32.38308819300595,2008-06-14
32.233729557743125,2008-06-21
33.3513770858387,2008-06-28
32.67276241221105,2008-07-05
33.85289498286073,2008-07-12
34.28187998041226,2008-07-19
33.747548187232205,2008-07-26
35.01173333103513,2008-08-02
32.144196796572665,2008-08-09
32.76360329817751,2008-08-16
33.46996763012753,2008-08-23
30.632049581267218,2008-08-30
32.90730577779923,2008-09-06
33.055568903031016,2008-09-13
32.90092381249064,2008-09-20
31.21424608685255,2008-09-27
32.201793266134445,2008-10-04
30.777768424661225,2008-10-11
31.172136685072246,2008-10-18
28.432754853367783,2008-10-25
27.93209141423421,2008-11-01
27.093769261649964,2008-11-08
31.282537356296604,2008-11-15
27.39688205604711,2008-11-22
26.816789043945615,2008-11-29
29.268961715926785,2008-12-06
28.99915801767953,2008-12-13
31.465639744036935,2008-12-20
32.593737403405726,2008-12-27
31.171383720431034,2009-01-03
29.663428008100933,2009-01-10
32.205051356082414,2009-01-17
27.320174964200866,2009-01-24
33.647369503152326,2009-01-31
32.605114761596845,2009-02-07
33.987010620504684,2009-02-14
32.4560551164532,2009-02-21
34.20131349752801,2009-02-28
31.58564750575963,2009-03-07
32.726437633719584,2009-03-14
35.4566326449366,2009-03-21
36.550910256831166,2009-03-28
39.02928094219768,2009-04-04
35.1527486819047,2009-04-11
37.825888360206704,2009-04-18
35.30946725105731,2009-04-25
36.11377324142218,2009-05-02
36.38857663965915,2009-05-09
33.75072521852632,2009-05-16
32.37230274415396,2009-05-23
30.4266259924592,2009-05-30
35.70346160158531,2009-06-06
36.525839415183,2009-06-13
33.23691925244735,2009-06-20
32.09598452575334,2009-06-27
30.09879979686055,2009-07-04
33.71318448900894,2009-07-11
32.67180104332389,2009-07-18
33.60229182688565,2009-07-25
34.730539362344864,2009-08-01
30.514410166912565,2009-08-08
31.338656393428494,2009-08-15
26.85857142857148,2009-08-22
30.55584753245012,2009-08-29
33.76894774624095,2009-09-05
36.533069996916645,2009-09-12
35.61496334020567,2009-09-19
33.51585704708418,2009-09-26
37.93528848934269,2009-10-03
34.3243706247853,2009-10-10
32.07240284747347,2009-10-17
33.12369221313442,2009-10-24
34.34654127321877,2009-10-31
34.77982774481819,2009-11-07
34.82102303158844,2009-11-14
32.292671417960634,2009-11-21
32.49610682079803,2009-11-28
33.505799196079444,2009-12-05
34.59510593607411,2009-12-12
34.63192065397742,2009-12-19
34.170526509499744,2009-12-26
33.05380405301799,2010-01-02
34.265163440678855,2010-01-09
35.547580434880366,2010-01-16
35.4640659813722,2010-01-23
34.86917692644688,2010-01-30
34.77017199647399,2010-02-06
34.22432159143727,2010-02-13
31.709004377637644,2010-02-20
38.16837213014238,2010-02-27
38.137758865271614,2010-03-06
36.78072998371868,2010-03-13
35.527289087199456,2010-03-20
36.241133859076875,2010-03-27
37.16229868056103,2010-04-03
36.0805282862088,2010-04-10
33.76467406769471,2010-04-17
38.238116213951564,2010-04-24
34.27195350029807,2010-05-01
38.24420469405807,2010-05-08
31.53690850342151,2010-05-15
34.44075048807793,2010-05-22
33.92067689776228,2010-05-29
33.31758119423972,2010-06-05
33.086009552647276,2010-06-12
32.481743132590836,2010-06-19
30.630459420359472,2010-06-26
30.074435802208107,2010-07-03
26.91373529582489,2010-07-10
30.18404882582747,2010-07-17
31.6219960005887,2010-07-24
24.82322883042921,2010-07-31
25.23691973944107,2010-08-07
30.860510422660507,2010-08-14
31.373267903941827,2010-08-21
27.294412073685013,2010-08-28
27.951814085965847,2010-09-04
31.148918254476335,2010-09-11
25.71526799377015,2010-09-18
20.606804638975177,2010-09-25
21.489967730978286,2010-10-02
26.909661386988677,2010-10-09
29.625288153906432,2010-10-16
27.87025980181341,2010-10-23
28.183057071625644,2010-10-30
32.38269254615033,2010-11-06
28.100674937934617,2010-11-13
27.79221274351202,2010-11-20
27.885998187123246,2010-11-27
27.715401237804763,2010-12-04
29.235972010264607,2010-12-11
27.98616858384681,2010-12-18
29.797984302738097,2010-12-25
31.110671943275317,2011-01-01
31.697042243322194,2011-01-08
32.11087521388454,2011-01-15
32.37259745585517,2011-01-22
33.060602019051636,2011-01-29
33.28267117425736,2011-02-05
33.69324948306359,2011-02-12
33.71646291986189,2011-02-19
34.80869391619148,2011-02-26
32.88994048579021,2011-03-05
36.13414852642356,2011-03-12
35.02419024485673,2011-03-19
34.52799924086023,2011-03-26
30.3010648139848,2011-04-02
36.478945793263684,2011-04-09
36.44817049228025,2011-04-16
31.747889419411617,2011-04-23
34.2572725495282,2011-04-30
35.53339928063457,2011-05-07
31.674508257657624,2011-05-14
32.33549910099206,2011-05-21
33.27985622361751,2011-05-28
31.853547923379285,2011-06-04
30.16925150896315,2011-06-11
34.179178422946855,2011-06-18
30.492430982714072,2011-06-25
31.867040992660975,2011-07-02
31.81542797522629,2011-07-09
31.072530466153466,2011-07-16
35.21507532711858,2011-07-23
31.214972141188422,2011-07-30
30.345129485734976,2011-08-06
33.522381309762935,2011-08-13
33.709428146664536,2011-08-20
28.407358387123363,2011-08-27
33.27820914307232,2011-09-03
32.41806897473193,2011-09-10
34.49793115066452,2011-09-17
30.615196934012438,2011-09-24
27.212352677899222,2011-10-01
26.4208488688096,2011-10-08
24.374447525112515,2011-10-15
25.050806707662016,2011-10-22
34.08685229828695,2011-10-29
33.39539060150289,2011-11-05
30.936482838198476,2011-11-12
29.399685761575874,2011-11-19
29.50145462857666,2011-11-26
30.77512684712511,2011-12-03
25.252074810568136,2011-12-10
27.55110322883048,2011-12-17
29.937882897189603,2011-12-24
31.191974631357336,2011-12-31
30.513276708091976,2012-01-07
31.666948731175687,2012-01-14
32.00150624110273,2012-01-21
31.857044163029308,2012-01-28
30.61942840304434,2012-02-04
31.39114312792329,2012-02-11
32.35702792332465,2012-02-18
33.47065897544767,2012-02-25
32.27043986040747,2012-03-03
35.091151888427696,2012-03-10
35.81373598940041,2012-03-17
32.73558592297245,2012-03-24
34.36964387266267,2012-03-31
36.117867991894315,2012-04-07
35.364402002182175,2012-04-14
35.03655841724107,2012-04-21
38.41450729132366,2012-04-28
38.00584600095958,2012-05-05
34.7503569655946,2012-05-12
36.16939243400784,2012-05-19
36.49474751326507,2012-05-26
33.91259122185429,2012-06-02
33.969136679834726,2012-06-09
33.48240497479482,2012-06-16
33.780705842565844,2012-06-23
30.690385569850427,2012-06-30
34.44558813894255,2012-07-07
33.99684820532048,2012-07-14
33.47505669660677,2012-07-21
35.921913384138044,2012-07-28
36.620584100171506,2012-08-04
36.485547149218675,2012-08-11
31.21548614686642,2012-08-18
33.344407883231575,2012-08-25
33.89551838255496,2012-09-01
35.31205803023782,2012-09-08
34.999785231099274,2012-09-15
36.08199175227306,2012-09-22
35.18902546767195,2012-09-29
33.788274242859494,2012-10-06
34.670404451907636,2012-10-13
31.382193486590076,2012-10-20
29.313381185019235,2012-10-27
31.722254728219816,2012-11-03
29.099077811855217,2012-11-10
31.977574693159777,2012-11-17
32.806457091927925,2012-11-24
31.988946092193974,2012-12-01
